content_id,title,description,content_type,adapter,image,citation
gallery_intro,Gallery Intro,"Featured research: Barberini Ivory, Roman Wall Sconce, and Susanna and the Elders. The illustrated reliefs and fan remain fixed scenery until their identities are confirmed.",detail,,,
conservation_lab_intro,Conservation Lab Intro,"Ivory as a medium: workmanship, materials, artistic traditions, and conservation evidence. Compare the collection on the central table with histories across centuries.",detail,,,
historical_society_intro,Historical Society Intro,"Community memory, collecting practices, and the local lives of objects. The piano and billiards table connect materials to everyday social spaces.",detail,,,
attic_intro,Attic Intro,"Inheritance, rediscovery, storage, and documentary gaps. An object found in a trunk does not establish who made, owned, or transferred it.",detail,,,
natural_history_intro,Natural History Intro,"Elephants, ivory as material, and environmental history. Explore deep time, maps, specimen interpretation, and a separate evidence-ordering activity.",detail,,,
conservators_office_intro,Conservators Office Intro,"Care, repair, research and preservation. Exhibition assembly at the terminal remains a future feature.",detail,,,
lab_intro,Lab Intro,Technical analysis and material investigation. Lab is distinct from Conservation Lab; its attic context describes the investigation of rediscovered objects.,detail,,,
welcome-sequence,Welcome to ArchIvory,Welcome and check-in.,tool,trigger:.welcome-mantle,,
gallery-fixed-wall_01,Illustrated relief — identity unverified,"This carving is part of the room illustration. Its identity has not been verified against a collection record. The research below is comparative, not a provenance claim.",detail,,,
gallery-fixed-wall_02,Illustrated relief — identity unverified,"This carving is part of the room illustration. Its identity has not been verified against a collection record. The research below is comparative, not a provenance claim.",detail,,,
gallery-fixed-fan,Illustrated folding fan,The fan is a fixed part of the room artwork. Its identity has not been verified; it is not assigned the New Harmony fan record.,detail,,,
gallery-roman-wall-sconce,Roman Wall Sconce,Existing evidence case at the Eskenazi Museum of Art.,detail,art-sconce-sequence,/assets/img/RomanWallSconce - 03-06-2026 14-41-38.jpeg,Existing Gallery research and evidence photographs.
art-relief-sequence,Barberini Ivory,Existing Gallery research: sixth-century relief.,detail,art-relief-sequence,,
art-susanna-sequence,Susanna and the Elders,Existing Gallery research on the carving by Van Bossuit.,detail,art-susanna-sequence,,
ChineseUVIvoryCollection,IU Eskenazi Museum Ivories,Existing conservation-table research.,detail,art-table-sequence,,"_data/demo-metadata.csv; original objectid preserved, including capitalization."
conservation-methods,Analysis workbench,The existing collection record reports DNA evidence from African and Asian elephants. Open the central ivories collection for the supplied research. No additional analysis media have been supplied.,tool,,,
historical_society_piano_01,Piano,"An illustrated piano anchors this room. Keyboard coverings can prompt questions about materials and manufacture, but the artwork does not establish the material, maker or provenance of this piano.",detail,,,
historical_society_table_01,Billiards table,The billiards table connects leisure with the history of materials. No object record or material identification has been assigned to this illustrated furnishing.,detail,,,
natural-history-specimen,Elephant tusk,"The room illustration presents a tusk as a specimen. A specimen accession, individual animal, collecting locality and provenance have not been supplied. Use the inquiry terminal for evidence-based questions; do not infer an individual history from the scenery.",detail,,,
natural-history-map,World map,Existing collection geography map.,tool,route:/map.html,,
proboscidean-timeline,Deep-time explorer,"Existing proboscidean explorer, habitation map and inquiry connections.",tool,trigger:[data-open-room-timeline],,
habitation-map,Habitation map,"Nested component of the deep-time explorer, not a second wall location.",tool,trigger:[data-apt-map-action],,
natural-history-tusk,Ivory Inquiry Terminal,Existing inquiry tool.,tool,"trigger:[data-hotspot=""inquiry-tusk""]",,
conservator-terminal,Curation terminal,Exhibition assembly remains a planned feature.,tool,conservator-terminal-sequence,,
lab-attic-sequence,Attic investigations,Existing context and navigation.,tool,lab-attic-sequence,,
