timeline_id,id,sortKey,displayedDate,title,description,image,citation,extendedExplanation,revealText,promptText,published
local_lives,local-inventory,1880,1880 (fictional),Household inventory,An inventory lists an unnamed carved object.,,Fictional teaching example; no historical provenance or external citation claimed.,An inventory lists an unnamed carved object.
local_lives,local-letter,1905,1905 (fictional),Letter about a proposed gift,A letter proposes a gift; intention is not a completed transfer.,,Fictional teaching example; no historical provenance or external citation claimed.,A letter proposes a gift; intention is not a completed transfer.
local_lives,local-accession,1910,1910 (fictional),Institutional accession,An accession entry records receipt by a local institution.,,Fictional teaching example; no historical provenance or external citation claimed.,An accession entry records receipt by a local institution.
local_lives,local-relabel,1935,1935 (fictional),Exhibit relabeling,A new label changes the interpretation of the object.,,Fictional teaching example; no historical provenance or external citation claimed.,A new label changes the interpretation of the object.
ivory_ages,sample-a,-2000,2000 BCE (fictional sample),Early carved sample,A teaching sample introduces carving as a material practice.,,Fictional teaching example; no historical provenance or external citation claimed.,A teaching sample introduces carving as a material practice.
ivory_ages,sample-b,500,500 CE (fictional sample),Relief workshop sample,A later teaching sample explores relief technique.,,Fictional teaching example; no historical provenance or external citation claimed.,A later teaching sample explores relief technique.
ivory_ages,sample-c,1200,1200 CE (fictional sample),Joined-panel sample,A teaching sample asks how construction and display relate.,,Fictional teaching example; no historical provenance or external citation claimed.,A teaching sample asks how construction and display relate.
ivory_ages,sample-d,1800,1800 CE (fictional sample),Turned-object sample,A teaching sample introduces another way to work the material.,,Fictional teaching example; no historical provenance or external citation claimed.,A teaching sample introduces another way to work the material.
family_traces,family-inventory,1900,1900 (fictional),Old inventory,A household inventory survives.,,Fictional teaching example; no historical provenance or external citation claimed.,A household inventory survives.
family_traces,family-photo,1920,"1920s, uncertain (fictional)",Undated photograph,"Clothing suggests the 1920s, but an exact year is unknown.",,Fictional teaching example; no historical provenance or external citation claimed.,Equivalent to the envelope: either order is accepted. The image does not prove ownership.
family_traces,family-envelope,1920,"1920s, uncertain (fictional)",Loose envelope,The envelope is assigned to the same uncertain decade.,,Fictional teaching example; no historical provenance or external citation claimed.,Equivalent to the photograph: there is no evidence to order them within the decade.
family_traces,family-discovery,1970,1970 (fictional),Trunk rediscovered,A later note records finding the trunk.,,Fictional teaching example; no historical provenance or external citation claimed.,The missing years do not establish who kept the object or how it moved.
deep_time_evidence,early-proboscideans,-60000000,ca. 60–34 million years ago,Early Proboscideans,Early proboscideans emerged in Africa and began diversifying into a range of forms adapted to different environments.,,"Existing ArchIvory proboscidean explorer: assets/data/proboscidean-timeline.json, state early-proboscideans. External source citations were not supplied in that record.",This state emphasizes origin and diversification. Visitors should distinguish the broader proboscidean order from the much later appearance of modern elephants. Broad interval ordering uses onset groups; not a precise date for every occurrence.,"The earliest part of the axis represents long ecological change before modern elephants or human ivory trade.","What evidence can show environmental change across this much time?",true
deep_time_evidence,miocene-dispersal,-23000000,ca. 23–5.3 million years ago,Miocene Dispersal,Proboscideans expanded beyond Africa and diversified across Eurasia and other regions.,,"Existing ArchIvory proboscidean explorer: assets/data/proboscidean-timeline.json, state miocene-dispersal. External source citations were not supplied in that record.","Movement across continents makes geography part of evolutionary history. Range maps should be treated as reconstructions based on fossil localities, not perfectly known boundaries. Broad interval ordering uses onset groups; not a precise date for every occurrence.","Dispersal links fossil evidence to changing habitats and migration routes rather than a single fixed homeland.","How might movement across regions change the materials and stories available to people?",true
deep_time_evidence,pleistocene-diversity,-2600000,"ca. 2.6 million–11,700 years ago",Pleistocene Diversity,"Mammoths, mastodons, and other proboscideans occupied wide regions alongside the ancestors and relatives of modern elephants.",,"Existing ArchIvory proboscidean explorer: assets/data/proboscidean-timeline.json, state pleistocene-diversity. External source citations were not supplied in that record.",The late Pleistocene shows that recent proboscidean diversity was once much greater than the three living elephant species suggest. Broad interval ordering uses onset groups; not a precise date for every occurrence.,"The compressed late band still covers millions of years of diverse proboscidean lives and environments.","What is lost when a long period is treated as a single moment?",true
deep_time_evidence,late-extinctions,-50000,Late Pleistocene–Holocene,Late Proboscidean Extinctions,Many proboscidean lineages disappeared as climate changed and human hunting pressure increased.,,"Existing ArchIvory proboscidean explorer: assets/data/proboscidean-timeline.json, state late-extinctions. External source citations were not supplied in that record.","Extinction should not be presented as monocausal. Climate, habitat change, human pressure, and regional variation must be weighed against one another. Broad interval ordering uses onset groups; not a precise date for every occurrence.","Late extinctions bring ecological pressures and human action into the same interpretive frame without reducing either to one cause.","How should uncertainty shape the stories we tell about extinction and extraction?",true
