objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,room_url,room_label,publication_targets
ChineseUVIvoryCollection,,IU Eskenazi Museum Ivories,William Lowe Bryan,late 19th century or 16th century (Qing Era),Existing conservation-table research.,Eastern,"Bloomington, Indiana",39.1653,-86.5264,"_data/demo-metadata.csv; original objectid preserved, including capitalization.",,,Image;StillImage,image/jpeg,eng,,,,objects/ChineseIvories_EXAM2UV.JPG,objects/small/ChineseIvories_EXAM2UV_sm.jpg,objects/thumbs/ChineseIvories_EXAM2UV_th.jpg,Chinese ivory standing figures from the Bryan collection.,/pages/rooms/art.html,Conservation Lab,conservation_lab_table_01_1
art-relief-sequence,,Barberini Ivory,,,Existing Gallery research: sixth-century relief.,,,,,,,,,,,,,,,,Barberini Ivory,,/pages/rooms/gallery.html,Gallery,gallery_wall_02_2
art-susanna-sequence,,Susanna and the Elders,,,Existing Gallery research on the carving by Van Bossuit.,,,,,,,,,,,,,,,,Susanna and the Elders,,/pages/rooms/gallery.html,Gallery,gallery_wall_01_2
conservation_lab_intro,,Conservation Lab Intro,,,"Ivory as a medium: workmanship, materials, artistic traditions, and conservation evidence. Compare the collection on the central table with histories across centuries.",,,,,,,,,,,,,,,,Conservation Lab Intro,,/pages/rooms/art.html,Conservation Lab,conservation_lab_intro_1
conservators_office_intro,,Conservators Office Intro,,,"Care, repair, research and preservation. Exhibition assembly at the terminal remains a future feature.",,,,,,,,,,,,,,,,Conservators Office Intro,,/pages/rooms/conservators-office.html,Conservator's Office,conservators_office_panel_01_1
gallery-fixed-fan,,Illustrated folding fan,,,The fan is a fixed part of the room artwork. Its identity has not been verified; it is not assigned the New Harmony fan record.,,,,,,,,,,,,,,,,Illustrated folding fan,,/pages/rooms/gallery.html,Gallery,gallery_case_01_1
gallery-fixed-wall_02,,Illustrated relief — identity unverified,,,"This carving is part of the room illustration. Its identity has not been verified against a collection record. The research below is comparative, not a provenance claim.",,,,,,,,,,,,,,,,Illustrated relief — identity unverified,,/pages/rooms/gallery.html,Gallery,gallery_wall_02_1
gallery-roman-wall-sconce,,Roman Wall Sconce,,,Existing evidence case at the Eskenazi Museum of Art.,,,,,Existing Gallery research and evidence photographs.,,,,,,,,/assets/img/RomanWallSconce - 03-06-2026 14-41-38.jpeg,/assets/img/RomanWallSconce - 03-06-2026 14-41-38.jpeg,/assets/img/RomanWallSconce - 03-06-2026 14-41-38.jpeg,Roman Wall Sconce,,/pages/rooms/gallery.html,Gallery,gallery_wall_03_1
gallery_intro,,Gallery Intro,,,"Featured research: Barberini Ivory, Roman Wall Sconce, and Susanna and the Elders. The illustrated reliefs and fan remain fixed scenery until their identities are confirmed.",,,,,,,,,,,,,,,,Gallery Intro,,/pages/rooms/gallery.html,Gallery,gallery_intro_1
geib-flute,,Geib Flute,,,test,,,,,,,,,,,,,/assets/img/editorial/geib-flute-3ec90b3a3ce8.jpeg,/assets/img/editorial/geib-flute-3ec90b3a3ce8.jpeg,/assets/img/editorial/geib-flute-3ec90b3a3ce8.jpeg,Geib Flute,,/pages/rooms/natural-history.html,Natural History Museum,geib-flute
historical_society_piano_01,,Piano,,,"An illustrated piano anchors this room. Keyboard coverings can prompt questions about materials and manufacture, but the artwork does not establish the material, maker or provenance of this piano.",,,,,,,,,,,,,,,,Piano,,/pages/rooms/historical-society.html,Historical Society,historical_society_piano_01_1
historical_society_table_01,,Billiards table,,,The billiards table connects leisure with the history of materials. No object record or material identification has been assigned to this illustrated furnishing.,,,,,,,,,,,,,,,,Billiards table,,/pages/rooms/historical-society.html,Historical Society,historical_society_table_01_1
natural-history-specimen,,Elephant tusk,,,"The room illustration presents a tusk as a specimen. A specimen accession, individual animal, collecting locality and provenance have not been supplied. Use the inquiry terminal for evidence-based questions; do not infer an individual history from the scenery.",,,,,,,,,,,,,,,,Elephant tusk,,/pages/rooms/natural-history.html,Natural History Museum,natural_history_specimen_01_1|natural_history_specimen_01_label_1
natural_history_intro,,Natural History Intro,,,"Elephants, ivory as material, and environmental history. Explore deep time, maps, specimen interpretation, and a separate evidence-ordering activity.",,,,,,,,,,,,,,,,Natural History Intro,,/pages/rooms/natural-history.html,Natural History Museum,natural_history_panel_01_1
